"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Ecommerce Automation","0","Home Page & Navigation","9","0","","0"
"3","Ecommerce Automation","0","User Registration","10","0","","0"
"2","Ecommerce Automation","1","Shopping Cart","9","0","","0"
"2","Ecommerce Automation","0","Cross-Browser & Responsive","19","0","","0"
"1","Ecommerce Automation","0","Login / Logout","9","1","","0"
"4","Ecommerce Automation","0","Product Listing & Filters","9","0","","0"
"11","Ecommerce Automation","0","Product Detail Page","1","0","","0"
"1","Ecommerce Automation","0","Checkout & Orders","9","0","","0"
"1","Ecommerce Automation","3","Contact Us","3","0","","0"
"4","Ecommerce Automation","0","Product Search","9","0","","0"
