"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17211","Subscribing with an empty email doesn't fire the success banner","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.HomeNavigationTests","RegressionModules","com.rishabh.tests.regression.HomeNavigationTests","homeSubscription_emptyEmail_blocked"
"","18168","Signup blocked when email field is left empty","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.RegistrationTests","RegressionModules","com.rishabh.tests.regression.RegistrationTests","registerUser_withEmptyEmail_signupBlocked"
"","15497","TC17 - Remove a product from the cart","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CartTests","RegressionModules","com.rishabh.tests.regression.CartTests","cart_removeProduct_removedSuccessfully"
"","204","Home page renders its core elements at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","homePage_rendersCorrectly_acrossViewports"
"","1046","Products grid still renders products at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","productsPage_gridRendersProducts_acrossViewports"
"","7963","TC04 - Logout redirects back to the login page","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.LoginLogoutTests","RegressionModules","com.rishabh.tests.regression.LoginLogoutTests","logoutUser_afterLogin_redirectsToLoginPage"
"","4737","Product catalog has more than a trivial handful of items","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ProductListingFilterTests","RegressionModules","com.rishabh.tests.regression.ProductListingFilterTests","productListing_catalogHasMultipleProducts"
"","191","Cart icon in the header stays reachable at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","header_cartIcon_accessibleAcrossViewports"
"","0","setUp","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductDetailTests","RegressionModules","com.rishabh.tests.regression.ProductDetailTests","setUp"
"","1684","Search functionality is usable at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","productSearch_worksAcrossViewports"
"","4822","Cart quantity control is a disabled stepper, not a free-text field","EcommerceRegressionSuite","2026-07-04","failed","2026-07-04","com.rishabh.tests.regression.CartTests","RegressionModules","com.rishabh.tests.regression.CartTests","cart_quantityControl_isReadOnlyStepper"
"","25309","TC24 - Invoice can be downloaded once the order is placed","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CheckoutOrderTests","RegressionModules","com.rishabh.tests.regression.CheckoutOrderTests","checkout_downloadInvoice_afterPurchase"
"","1155","Products grid still renders products at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","productsPage_gridRendersProducts_acrossViewports"
"","53448","Add to cart from the product detail page works on a tablet viewport","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","productDetail_addToCart_worksOnTabletViewport"
"","4133","TC03 - Login with incorrect password","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.LoginLogoutTests","RegressionModules","com.rishabh.tests.regression.LoginLogoutTests","loginUser_withIncorrectPassword_showsError"
"","2015","Contact form blocks submission with the message field empty","EcommerceRegressionSuite","2026-07-04","failed","2026-07-04","com.rishabh.tests.regression.ContactUsTests","RegressionModules","com.rishabh.tests.regression.ContactUsTests","contactUs_submitWithoutMessage_blocked"
"","128","Home page renders its core elements at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","homePage_rendersCorrectly_acrossViewports"
"","16533","Contact form blocks submission with the email field empty","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ContactUsTests","RegressionModules","com.rishabh.tests.regression.ContactUsTests","contactUs_submitWithoutEmail_blocked"
"","20542","Account creation form rejects a missing mandatory first name","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.RegistrationTests","RegressionModules","com.rishabh.tests.regression.RegistrationTests","registerUser_missingFirstName_createAccountBlocked"
"","223","Category sidebar is present with the products grid","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ProductListingFilterTests","RegressionModules","com.rishabh.tests.regression.ProductListingFilterTests","productListing_categorySidebar_visible"
"","0","setUp","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ContactUsTests","RegressionModules","com.rishabh.tests.regression.ContactUsTests","setUp"
"","868","TC13 - Increasing quantity before add-to-cart reflects in the cart","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductDetailTests","RegressionModules","com.rishabh.tests.regression.ProductDetailTests","productDetail_increaseQuantity_reflectsInCart"
"","17512","Quantity field defaults to 1 on page load","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductDetailTests","RegressionModules","com.rishabh.tests.regression.ProductDetailTests","productDetail_quantitySelector_defaultValueIsOne"
"","1","setUp","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductSearchTests","RegressionModules","com.rishabh.tests.regression.ProductSearchTests","setUp"
"","51746","TC18 - View products under Men > Tshirts category","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductListingFilterTests","RegressionModules","com.rishabh.tests.regression.ProductListingFilterTests","viewCategoryProducts_menTshirts_showsFilteredResults"
"","5301","Register opting out of the newsletter","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.RegistrationTests","RegressionModules","com.rishabh.tests.regression.RegistrationTests","registerUser_withoutNewsletterOptIn_accountCreatedSuccessfully"
"","16838","TC14 - Add to cart while logged out, register mid-checkout, then place the order","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CheckoutOrderTests","RegressionModules","com.rishabh.tests.regression.CheckoutOrderTests","checkout_registerDuringCheckout_orderPlacedSuccessfully"
"","3392","Header cart icon navigates to the cart page","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.HomeNavigationTests","RegressionModules","com.rishabh.tests.regression.HomeNavigationTests","homePage_headerNavigation_cartLinkWorks"
"","141","Cart icon in the header stays reachable at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","header_cartIcon_accessibleAcrossViewports"
"","6324","Searching with special characters doesn't error out","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ProductSearchTests","RegressionModules","com.rishabh.tests.regression.ProductSearchTests","searchProduct_withSpecialCharacters_handledGracefully"
"","13273","Search is case insensitive","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ProductSearchTests","RegressionModules","com.rishabh.tests.regression.ProductSearchTests","searchProduct_caseInsensitiveSearch_returnsSameResults"
"","6242","Search using only a partial word still matches products","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ProductSearchTests","RegressionModules","com.rishabh.tests.regression.ProductSearchTests","searchProduct_byPartialKeyword_showsMatchingResults"
"","2802","Search functionality is usable at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","productSearch_worksAcrossViewports"
"","8984","Line total for a product matches unit price times quantity","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CartTests","RegressionModules","com.rishabh.tests.regression.CartTests","cart_lineTotal_matchesUnitPriceTimesQuantity"
"","11698","TC23 - Delivery/invoice address on checkout reflects the registered address","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CheckoutOrderTests","RegressionModules","com.rishabh.tests.regression.CheckoutOrderTests","checkout_addressDetails_matchRegisteredAddress"
"","8068","Every product card exposes a matching price alongside its name","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ProductListingFilterTests","RegressionModules","com.rishabh.tests.regression.ProductListingFilterTests","productListing_everyProductHasNameAndPrice"
"","12157","TC16 - Logged in user can proceed straight to the checkout page","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CartTests","RegressionModules","com.rishabh.tests.regression.CartTests","cart_proceedToCheckoutWhileLoggedIn_navigatesToCheckoutPage"
"","0","setUp","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.RegistrationTests","RegressionModules","com.rishabh.tests.regression.RegistrationTests","setUp"
"","210","Home page renders its core elements at every breakpoint","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","homePage_rendersCorrectly_acrossViewports"
"","51665","TC21 - Submitting a product review shows the thank-you message","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductDetailTests","RegressionModules","com.rishabh.tests.regression.ProductDetailTests","productDetail_writeReview_submitsSuccessfully"
"Signup with a fresh name/email, fill the account info form and confirm the account gets created","12731","TC01 - Register a brand new user with valid details","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.RegistrationTests","RegressionModules","com.rishabh.tests.regression.RegistrationTests","registerUser_withValidDetails_accountCreatedSuccessfully"
"","1186","Login form fields remain usable on a mobile viewport","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.crossbrowser.ResponsiveTests","ResponsiveModule","com.rishabh.tests.crossbrowser.ResponsiveTests","loginPage_formUsable_onMobileViewport"
"","17538","An order comment left at checkout doesn't block placing the order","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CheckoutOrderTests","RegressionModules","com.rishabh.tests.regression.CheckoutOrderTests","checkout_orderComment_doesNotBlockOrder"
"","1153","TC06 - Submitting a fully filled contact form shows a success banner","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ContactUsTests","RegressionModules","com.rishabh.tests.regression.ContactUsTests","contactUs_submitValidForm_showsSuccessMessage"
"","1228","Navigating straight to an empty cart shows the empty state","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CartTests","RegressionModules","com.rishabh.tests.regression.CartTests","cart_emptyCart_navigateDirectly_showsEmptyMessage"
"","27076","Searching for a keyword with no matches returns zero products","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductSearchTests","RegressionModules","com.rishabh.tests.regression.ProductSearchTests","searchProduct_byNonExistentKeyword_showsNoResults"
"","4637","Empty search term keeps the user on the products listing","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ProductSearchTests","RegressionModules","com.rishabh.tests.regression.ProductSearchTests","searchProduct_withEmptyKeyword_doesNotError"
"","0","setUp","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.LoginLogoutTests","RegressionModules","com.rishabh.tests.regression.LoginLogoutTests","setUp"
"","1878","TC10 - Subscribe with a valid email on the home page","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.HomeNavigationTests","RegressionModules","com.rishabh.tests.regression.HomeNavigationTests","homeSubscription_validEmail_showsSuccessMessage"
